NAME,UG,LT,G
Clear 4mm/10mmAir 100%/Clear 4mm,2.9,82/15,75/14/79
Clear 4mm/10mmAir 100%/Clear 5mm,2.9,82/15,75/14/79
Clear 4mm/10mmArgon 90%/Clear 4mm,2.8,82/15,75/14/79
Clear 4mm/10mmArgon 90%/Clear 5mm,2.8,82/15,75/14/79
Clear 4mm/12mmAir 100%/Clear 4mm,2.9,82/15,75/14/79
Clear 4mm/12mmAir 100%/Clear 5mm,2.9,82/15,75/14/79
Clear 4mm/12mmArgon 90%/Clear 4mm,2.7,82/15,75/14/79
Clear 4mm/12mmArgon 90%/Clear 5mm,2.7,82/15,75/14/79
Clear 4mm/14mmAir 100%/Clear 4mm,2.8,82/15,75/14/79
Clear 4mm/14mmAir 100%/Clear 5mm,2.8,82/15,75/14/79
Clear 4mm/14mmArgon 90%/Clear 4mm,2.6,82/15,75/14/79
Clear 4mm/14mmArgon 90%/Clear 5mm,2.6,82/15,75/14/79
Clear 4mm/15mmAir 100%/Clear 4mm,2.7,82/15,75/14/79
Clear 4mm/15mmAir 100%/Clear 5mm,2.7,82/15,75/14/79
Clear 4mm/15mmArgon 90%/Clear 4mm,2.6,82/15,75/14/79
Clear 4mm/15mmArgon 90%/Clear 5mm,2.6,82/15,75/14/79
Clear 4mm/16mmAir 100%/Clear 4mm,2.7,82/15,75/14/79
Clear 4mm/16mmAir 100%/Clear 5mm,2.7,82/15,75/14/79
Clear 4mm/16mmArgon 100%/Clear 4mm,2.6,82/15,75/14/79
Clear 4mm/16mmArgon 100%/Clear 5mm,2.6,82/15,75/14/79
Clear 4mm/18mmAir 100%/Clear 4mm,2.7,82/15,75/14/79
Clear 4mm/18mmAir 100%/Clear 5mm,2.7,82/15,75/14/79
Clear 4mm/18mmArgon 100%/Clear 4mm,2.6,82/15,75/14/79
Clear 4mm/18mmArgon 100%/Clear 5mm,2.6,82/15,75/14/79
Clear 4mm/8mmAir 100%/Clear 4mm,3.1,82/15,75/14/79
Clear 4mm/8mmAir 100%/Clear 5mm,3.1,82/15,75/14/79
Clear 4mm/8mmArgon 90%/Clear 4mm,2.9,82/15,75/14/79
Clear 4mm/8mmArgon 90%/Clear 5mm,2.9,82/15,75/14/79
Clear 5mm/10mmAir 100%/Clear 5mm,2.9,82/15,74/13/79
Clear 5mm/10mmAir 100%/Clear 6mm,2.9,82/15,73/13/78
Clear 5mm/10mmArgon 90%/Clear 5mm,2.8,82/15,74/13/79
Clear 5mm/10mmArgon 90%/Clear 6mm,2.8,82/15,73/13/78
Clear 5mm/12mmAir 100%/Clear 5mm,2.9,82/15,74/13/79
Clear 5mm/12mmAir 100%/Clear 6mm,2.9,82/15,73/13/78
Clear 5mm/12mmArgon 90%/Clear 5mm,2.7,82/15,74/13/79
Clear 5mm/12mmArgon 90%/Clear 6mm,2.7,82/15,73/13/78
Clear 5mm/14mmAir 100%/Clear 5mm,2.8,82/15,74/13/79
Clear 5mm/14mmAir 100%/Clear 6mm,2.8,82/15,73/13/78
Clear 5mm/14mmArgon 90%/Clear 5mm,2.6,82/15,74/13/79
Clear 5mm/14mmArgon 90%/Clear 6mm,2.6,82/15,73/13/78
Clear 5mm/15mmAir 100%/Clear 5mm,2.7,82/15,74/13/79
Clear 5mm/15mmAir 100%/Clear 6mm,2.7,82/15,73/13/78
Clear 5mm/15mmArgon 90%/Clear 5mm,2.6,82/15,74/13/79
Clear 5mm/15mmArgon 90%/Clear 6mm,2.6,82/15,73/13/78
Clear 5mm/16mmAir 100%/Clear 5mm,2.7,82/15,74/13/79
Clear 5mm/16mmAir 100%/Clear 6mm,2.7,82/15,73/13/78
Clear 5mm/16mmArgon 100%/Clear 5mm,2.6,82/15,74/13/79
Clear 5mm/16mmArgon 100%/Clear 6mm,2.6,82/15,73/13/78
Clear 5mm/18mmAir 100%/Clear 5mm,2.7,82/15,74/13/79
Clear 5mm/18mmAir 100%/Clear 6mm,2.7,82/15,73/13/78
Clear 5mm/18mmArgon 100%/Clear 5mm,2.6,82/15,74/13/79
Clear 5mm/18mmArgon 100%/Clear 6mm,2.6,82/15,73/13/78
Clear 5mm/8mmAir 100%/Clear 5mm,3.1,82/15,74/13/79
Clear 5mm/8mmAir 100%/Clear 6mm,3.1,82/15,73/13/78
Clear 5mm/8mmArgon 90%/Clear 5mm,2.9,82/15,74/13/79
Clear 5mm/8mmArgon 90%/Clear 6mm,2.9,82/15,73/13/78
Clima Guaerd 1 4mm/15mmAir 100%/Clear 4mm,1.4,70/22,44/40/47
Clima Guaerd 1 4mm/15mmAir 100%/Clear 5mm,1.4,70/22,44/40/47
Clima Guard 1 4mm/10mmAir 100%/Clear 4mm,1.8,70/22,44/40/47
Clima Guard 1 4mm/10mmAir 100%/Clear 5mm,1.8,70/22,44/40/47
Clima Guard 1 4mm/10mmArgon 90%/Clear 4mm,1.4,70/22,44/40/47
Clima Guard 1 4mm/10mmArgon 90%/Clear 5mm,1.4,70/22,44/40/47
Clima Guard 1 4mm/12mmAir 100%/Clear 4mm,1.5,70/22,44/40/47
Clima Guard 1 4mm/12mmAir 100%/Clear 5mm,1.5,70/22,44/40/47
Clima Guard 1 4mm/12mmArgon 90%/Clear 4mm,1.2,70/22,44/40/47
Clima Guard 1 4mm/12mmArgon 90%/Clear 5mm,1.2,70/22,44/40/47
Clima Guard 1 4mm/14mmAir 100%/Clear 4mm,1.4,70/22,44/40/47
Clima Guard 1 4mm/14mmAir 100%/Clear 5mm,1.4,70/22,44/40/47
Clima Guard 1 4mm/14mmArgon 90%/Clear 4mm,1,70/22,44/40/47
Clima Guard 1 4mm/14mmArgon 90%/Clear 5mm,1,70/22,44/40/47
Clima Guard 1 4mm/15mmArgon 90%/Clear 4mm,1,70/22,44/40/47
Clima Guard 1 4mm/15mmArgon 90%/Clear 5mm,1,70/22,44/40/47
Clima Guard 1 4mm/16mmAir 100%/Clear 4mm,1.3,70/22,44/40/47
Clima Guard 1 4mm/16mmAir 100%/Clear 5mm,1.3,70/22,44/40/47
Clima Guard 1 4mm/16mmArgon 100%/Clear 4mm,1,70/22,44/40/47
Clima Guard 1 4mm/16mmArgon 100%/Clear 5mm,1,70/22,44/40/47
Clima Guard 1 4mm/18mmAir 100%/Clear 4mm,1.3,70/22,44/40/47
Clima Guard 1 4mm/18mmAir 100%/Clear 5mm,1.3,70/22,44/40/47
Clima Guard 1 4mm/18mmArgon 100%/Clear 4mm,1,70/22,44/40/47
Clima Guard 1 4mm/18mmArgon 100%/Clear 5mm,1,70/22,44/40/47
Clima Guard 1 4mm/8mmAir 100%/Clear 4mm,2,70/22,44/40/47
Clima Guard 1 4mm/8mmAir 100%/Clear 5mm,2,70/22,44/40/47
Clima Guard 1 4mm/8mmArgon 90%/Clear 4mm,1.6,70/22,44/40/47
Clima Guard 1 4mm/8mmArgon 90%/Clear 5mm,1.6,70/22,44/40/47
Energy  N 4mm/10mmAir 100%/Clear 4mm,1.8,73/12,38/34/41
Energy  N 4mm/10mmAir 100%/Clear 5mm,1.8,73/12,38/34/41
Energy N  4mm/8mmAir 100%/Clear 4mm,2,73/12,38/34/41
Energy N  4mm/8mmAir 100%/Clear 5mm,2,73/12,38/34/41
Energy N 4mm/10mmArgon 90%/Clear 4mm,1.4,73/12,38/34/41
